"b,k,!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,x,u,";,w,g,q
"b,k,!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,q,u,";,w,g,x
"b,k,!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,u,";,w,q,g,x
"b,k,!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,u,";,q,w,g,x
"b,k,!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,u,";,w,g,q,x
b,;",!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,u,k,w,g,q,x"
b,;",!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,u,g,q,x,k,w"
b,;",!,z,y,w,j,"","",f,:,h,c,d,o,t,n,a,p,i,r,e,l,s,m,u,g,q,x,k,v"
b,;",!,z,y,w,j,"","",f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,q,x,k,v,p"
b,;",!,z,y,w,j,"","",f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,p,u,g,q,x,k,v"
b,;",!,z,y,w,j,"","",f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,p,u,g,v,q,x,k"
b,;",!,z,y,w,j,"","",f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,v,p,q,x,k"
b,;",!,w,j,"","",z,y,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,v,p,q,x,k"
v,;",!,w,j,"","",z,y,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,b,p,q,x,k"
,,;,!,w,j,v,z,y,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,b,p,q,x,k
,,;,z,y,!,w,j,v,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,b,p,q,x,k
,,z,;,!,w,k,y,j,v,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,b,p,x,q
,,;,z,!,w,k,y,j,v,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,b,p,x,q
,,z,;,!,w,k,y,j,v,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,p,b,x,q
,,;,z,!,w,k,y,j,v,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,p,b,x,q
,,;,!,w,z,k,y,j,v,f,:,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,p,b,x,q
,,:,;,!,w,z,k,y,j,v,f,h,c,d,o,t,n,a,i,r,e,l,s,m,u,g,p,b,x,q
,,j,:,;,!,w,z,k,y,v,f,h,c,d,o,t,n,a,i,r,e,l,u,g,s,m,p,b,x,q
,,j,:,;,!,w,q,k,y,v,f,h,c,d,o,u,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,j,:,;,!,w,k,y,q,v,f,h,c,d,o,u,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,w,j,:,;,!,k,y,q,v,f,h,c,d,o,u,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,w,j,:,;,!,k,y,q,f,h,v,c,d,o,u,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,:,w,j,;,!,k,y,q,f,h,v,c,d,o,u,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,:,w,;,!,k,j,y,q,f,h,v,c,d,o,u,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,:,w,;,!,k,j,y,q,f,h,v,c,d,u,o,n,a,i,r,e,l,t,g,s,m,p,b,x,z
,,:,w,;,!,k,j,y,q,f,h,v,c,d,u,o,s,n,a,i,r,e,l,t,g,m,p,b,x,z
,,:,w,;,!,k,j,y,q,f,h,v,c,u,o,s,n,a,i,r,e,l,t,g,m,p,d,b,x,z
,,!,:,w,;,k,j,y,q,f,h,v,c,u,o,s,n,a,i,r,e,l,t,g,m,p,d,b,x,z
,,!,:,w,;,k,x,z,j,y,q,f,h,v,c,u,o,s,n,a,i,r,e,l,t,g,m,p,d,b
,,;,!,:,w,k,x,z,j,y,q,f,h,v,c,u,o,s,n,a,i,r,e,l,t,g,m,p,d,b
